"unique_id"|"competitor_name"|"store_name"|"store_addressline1"|"store_addressline2"|"store_suburb"|"store_state"|"store_postcode"|"store_addressid"|"extraction_date"|"product_name"|"brand"|"brand_type"|"grammage_quantity"|"grammage_unit"|"drained_weight"|"producthierarchy_level1"|"producthierarchy_level2"|"producthierarchy_level3"|"producthierarchy_level4"|"producthierarchy_level5"|"producthierarchy_level6"|"producthierarchy_level7"|"regular_price"|"selling_price"|"price_was"|"promotion_price"|"promotion_valid_from"|"promotion_valid_upto"|"promotion_type"|"percentage_discount"|"promotion_description"|"package_sizeof_sellingprice"|"per_unit_sizedescription"|"price_valid_from"|"price_per_unit"|"multi_buy_item_count"|"multi_buy_items_price_total"|"currency"|"breadcrumb"|"pdp_url"|"variants"|"product_description"|"instructions"|"storage_instructions"|"preparationinstructions"|"instructionforuse"|"country_of_origin"|"allergens"|"age_of_the_product"|"age_recommendations"|"flavour"|"nutritions"|"nutritional_information"|"vitamins"|"labelling"|"grade"|"region"|"packaging"|"receipies"|"processed_food"|"barcode"|"frozen"|"chilled"|"organictype"|"cooking_part"|"handmade"|"max_heating_temperature"|"special_information"|"label_information"|"dimensions"|"special_nutrition_purpose"|"feeding_recommendation"|"warranty"|"color"|"model_number"|"material"|"usp"|"dosage_recommendation"|"tasting_note"|"food_preservation"|"size"|"rating"|"review"|"file_name_1"|"image_url_1"|"file_name_2"|"image_url_2"|"file_name_3"|"image_url_3"|"file_name_4"|"image_url_4"|"file_name_5"|"image_url_5"|"file_name_6"|"image_url_6"|"competitor_product_key"|"fit_guide"|"occasion"|"material_composition"|"style"|"care_instructions"|"heel_type"|"heel_height"|"upc"|"features"|"dietary_lifestyle"|"manufacturer_address"|"importer_address"|"distributor_address"|"vinification_details"|"recycling_information"|"return_address"|"alchol_by_volume"|"beer_deg"|"netcontent"|"netweight"|"site_shown_uom"|"ingredients"|"random_weight_flag"|"instock"|"promo_limit"|"product_unique_key"|"multibuy_items_pricesingle"|"perfect_match"|"servings_per_pack"|"warning"|"suitable_for"|"standard_drinks"|"environmental"|"grape_variety"|"retail_limit"
"5115"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"SPRITE Lemon-Lime"|"SPRITE"|""|"1,5"|"L"|""|"Dranken"|"Frisdrank"|"Bruisende limonade"|"Bruisende limonade citroen/limoen"|"SPRITE Lemon-Lime"|""|""|"1.99"|"1.99"|""|""|"11-03-2026"|"24-03-2026"|""|""|""|""|""|"11-03-2026"|"1.33"|""|""|"EUR"|"Dranken > Frisdrank > Bruisende limonade > Bruisende limonade citroen/limoen > SPRITE Lemon-Lime"|"https://www.colruyt.be/nl/producten/5115"|""|"Bruisend"|""|""|""|""|"BELGIË"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/40/19/asset-1854019.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1,5L"|""|""|"True"|""|"5115P"|""|""|""|""|""|""|""|""|""
"5174"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"TÖNISSTEINER limonade Zitrone Fit"|"TÖNISSTEINER"|""|"33"|"cl"|""|"Dranken"|"Frisdrank"|"Bruisende limonade"|"Bruisende limonade citroen/limoen"|"TÖNISSTEINER limonade Zitrone Fit"|""|""|"0.96"|"0.96"|""|""|""|""|""|""|"0.925 vanaf 24 st"|""|""|""|"2.93"|""|""|"EUR"|"Dranken > Frisdrank > Bruisende limonade > Bruisende limonade citroen/limoen > TÖNISSTEINER limonade Zitrone Fit"|"https://www.colruyt.be/nl/producten/5174"|""|"Smaak: citroen, Bruisend, Met zoetstoffen"|""|""|""|""|"DUITSLAND"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/91/90/asset-1549190.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"33cl"|""|""|"True"|""|"5174P"|""|""|""|""|""|""|""|""|""
"13890"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"COCA-COLA Zero Sugar No Caffeine"|"COCA-COLA"|""|"33"|"cl"|""|"Dranken"|"Frisdrank"|"Cola"|"Zero/Light"|"COCA-COLA Zero Sugar No Caffeine"|""|""|"0.94"|"0.94"|""|""|""|""|""|""|""|""|""|""|"2.88"|""|""|"EUR"|"Dranken > Frisdrank > Cola > Zero/Light > COCA-COLA Zero Sugar No Caffeine"|"https://www.colruyt.be/nl/producten/13890"|""|"Bruisend, Met zoetstoffen, Zonder cafeïne"|""|""|""|""|"BELGIË"|"Sulfieten"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/55/61/asset-4065561.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"33cl"|""|""|"True"|""|"13890P"|""|""|""|""|""|""|""|""|""
"5434"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"LIPTON Ice Tea Peach"|"LIPTON"|""|"33"|"cl"|""|"Dranken"|"Frisdrank"|"Iced tea"|"Niet-bruisende Iced tea"|"LIPTON Ice Tea Peach"|""|""|"0.69"|"0.69"|""|""|""|""|""|""|""|""|""|""|"2.1"|""|""|"EUR"|"Dranken > Frisdrank > Iced tea > Niet-bruisende Iced tea > LIPTON Ice Tea Peach"|"https://www.colruyt.be/nl/producten/5434"|""|"Ice tea, Perziksmaak, Non-sparkling, Ijs thee, Soft drink"|""|""|""|""|"NEDERLAND"|"Sulfieten"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/53/38/asset-3205338.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"33cl"|""|""|"True"|""|"5434P"|""|""|""|""|""|""|""|""|""
"5843"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"LIPTON Ice Tea Green"|"LIPTON"|""|"1,5"|"L"|""|"Dranken"|"Frisdrank"|"Iced tea"|"Niet-bruisende Iced tea"|"LIPTON Ice Tea Green"|""|""|"2.25"|"2.25"|""|""|"11-03-2026"|"24-03-2026"|""|""|""|""|""|"11-03-2026"|"1.5"|""|""|"EUR"|"Dranken > Frisdrank > Iced tea > Niet-bruisende Iced tea > LIPTON Ice Tea Green"|"https://www.colruyt.be/nl/producten/5843"|""|"Ice tea, Groene theesmaak, Non-sparkling, Ijs thee, Soft drink"|""|""|""|""|"BELGIË"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/62/01/asset-3796201.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1,5L"|""|""|"True"|""|"5843P"|""|""|""|""|""|""|""|""|""
"14261"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"TÖNISSTEINER limonade Orange Fit"|"TÖNISSTEINER"|""|"1"|"L"|""|"Dranken"|"Frisdrank"|"Bruisende limonade"|"Bruisende limonade sinaas"|"TÖNISSTEINER limonade Orange Fit"|""|""|"2.19"|"2.19"|""|""|""|""|""|""|"2.1 vanaf 18 st"|""|""|""|"2.09"|""|""|"EUR"|"Dranken > Frisdrank > Bruisende limonade > Bruisende limonade sinaas > TÖNISSTEINER limonade Orange Fit"|"https://www.colruyt.be/nl/producten/14261"|""|"Smaak: sinaasappel, Bruisend, Met zoetstoffen"|""|""|""|""|"DUITSLAND"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/nl_be/73/65/asset-907365.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1L"|""|""|"True"|""|"14261P"|""|""|""|""|""|""|""|""|""
"40402"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"FUZE TEA Black Tea Peach-Hibiscus"|"FUZE TEA"|""|"1,25"|"L"|""|"Dranken"|"Frisdrank"|"Iced tea"|"Niet-bruisende Iced tea"|"FUZE TEA Black Tea Peach-Hibiscus"|""|""|"1.50"|"1.50"|""|""|""|""|""|""|""|""|""|""|"1.2"|""|""|"EUR"|"Dranken > Frisdrank > Iced tea > Niet-bruisende Iced tea > FUZE TEA Black Tea Peach-Hibiscus"|"https://www.colruyt.be/nl/producten/40402"|""|"Smaak: perzik, hibiscus, Niet-bruisend"|""|""|""|""|"FRANKRIJK"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/51/94/asset-3935194.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1,25L"|""|""|"True"|""|"40402P"|""|""|""|""|""|""|""|""|""
"5339"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"SPRITE Lemon-Lime"|"SPRITE"|""|"33"|"cl"|""|"Dranken"|"Frisdrank"|"Bruisende limonade"|"Bruisende limonade citroen/limoen"|"SPRITE Lemon-Lime"|""|""|"0.91"|"0.91"|""|""|""|""|""|""|""|""|""|""|"2.78"|""|""|"EUR"|"Dranken > Frisdrank > Bruisende limonade > Bruisende limonade citroen/limoen > SPRITE Lemon-Lime"|"https://www.colruyt.be/nl/producten/5339"|""|"Bruisende limonade, Suiker, zoetstoffen"|""|""|""|""|"FRANKRIJK"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/37/02/asset-3243702.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"33cl"|""|""|"True"|""|"5339P"|""|""|""|""|""|""|""|""|""
"5392"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"AQUARIUS Daily Hydration Red Peach"|"AQUARIUS"|""|"50"|"cl"|""|"Dranken"|"Frisdrank"|"Sportdrinks"|"AQUARIUS Daily Hydration Red Peach"|""|""|""|"1.88"|"1.88"|""|""|"11-03-2026"|"24-03-2026"|""|""|""|""|""|"11-03-2026"|"3.76"|""|""|"EUR"|"Dranken > Frisdrank > Sportdrinks > AQUARIUS Daily Hydration Red Peach"|"https://www.colruyt.be/nl/producten/5392"|""|"Smaak: perzik"|""|""|""|""|"BELGIË"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/37/06/asset-3243706.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"50cl"|""|""|"True"|""|"5392P"|""|""|""|""|""|""|""|""|""
"5067"|"colruyt"|""|""|""|""|""|""|""|"2026-03-13"|"SAN PELLEGRINO Aranciata Rossa"|"SAN PELLEGRINO"|""|"33"|"cl"|""|"Dranken"|"Frisdrank"|"Bruisende limonade"|"Bruisende limonade sinaas"|"SAN PELLEGRINO Aranciata Rossa"|""|""|"1.07"|"1.07"|""|""|""|""|""|""|""|""|""|""|"3.25"|""|""|"EUR"|"Dranken > Frisdrank > Bruisende limonade > Bruisende limonade sinaas > SAN PELLEGRINO Aranciata Rossa"|"https://www.colruyt.be/nl/producten/5067"|""|"Smaak:, bloedsinaasappel, Bruisend"|""|""|""|""|"ITALIË"|"Sulfieten"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"https://static.colruytgroup.com/images/500x500/std.lang.all/45/22/asset-3894522.jpg"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"33cl"|""|""|"True"|""|"5067P"|""|""|""|""|""|""|""|""|""
