company_name~|~manufacturer_name~|~brand_name~|~manufacturer_part_number~|~vendor_seller_part_number~|~item_name~|~full_product_description~|~price~|~country_of_origin~|~unit_of_issue~|~qty_per_uoi~|~upc~|~model_number~|~product_category~|~url~|~availability~|~date_crawled~|~lead_time~|~rohs_reach~|~stock_on_hand
Restockit~|~Papermate~|~Papermate~|~PAP1921070~|~PAP1921070~|~Papermate Point Guard Flair Stick Porous Point Pen, Bold 1.4mm, Black Ink/Barrel, 36/Box (PAP1921070)~|~Add bright, vivid details to your writing and drawing with Paper Mate Flair Felt Tip Pens. Featuring a comfortable barrel grip and high-quality water-based inks, these pens are compatible with most surfaces and wont bleed through paper. These pens feature point guards that prevent the tips from fraying and drying out to keep your pen fresh. Every stroke produces bold, clean lines that are perfect for drawing, editing documents and checking papers.~|~53.75~|~~|~Box~|~36~|~041540008125~|~~|~Office Supplies > Pens, Writing and Correction > Permanent Markers and Marker Pens~|~https://www.restockit.com/products/papermate-point-guard-flair-stick-porous-point-pen-num-pap1921070~|~In stock~|~2026-04-20~|~~|~~|~373
Restockit~|~Hammermill~|~Hammermill~|~HAM103382~|~HAM103382~|~Hammermill Colors Print Paper, 20lb, 8.5 x 11, Pink, 500/Ream (HAM103382)~|~High-quality Colors printer paper in beautiful pastel colors increases the visual appeal of your documents to help you stand out from the crowd. Dependable and efficient, it runs smoothly through all equipment. Precise, accurate sheeting, consistent moisture content and curl control ensure smooth, trouble-free performance. Good opacity to minimize show-through. Excellent for color-coding. Backed by the 99.99% Jam-Free Guarantee. Acid-free material prevents yellowing over time to ensure a long-lasting appearance. This product was made from wood sourced from a certified managed forest.~|~12.90~|~~|~Ream~|~1~|~010199003386~|~~|~Office Supplies > Copy and Printer Paper > Color Paper~|~https://www.restockit.com/products/hammermill-colors-print-paper-num-ham103382~|~In stock~|~2026-04-20~|~~|~~|~6971
Restockit~|~Boardwalk~|~Boardwalk~|~BWK410EA~|~BWK410EA~|~Boardwalk Mild Cleansing Pink Lotion Soap, Cherry Scent, Liquid, 1 gal Bottle (BWK410EA)~|~Cherry scented lotion soap effectively removes tough grease, dirt, grime, ink, oil, and carbon from hands and skin. The lotion-infused formula gets skin clean, while leaving it soft and smooth. The powerful yet gentle formula provides excellent cleaning without drying out skin or causing irritation. Contains no abrasives, caustics, or solvents. Gentle enough for bath, shower, and shampoo use. Works in all hand dispensers, which are sold separately.~|~13.02~|~~|~Each~|~1~|~749507089056~|~~|~Cleaning Supplies > Soaps and Dispensers > Soaps > Bottled Soap~|~https://www.restockit.com/products/boardwalk-mild-cleansing-pink-lotion-soap-num-bwk410ea~|~In stock~|~2026-04-20~|~~|~~|~101
Restockit~|~Boardwalk~|~Boardwalk~|~PAD4017BLA~|~PAD4017BLA~|~Boardwalk Stripping Floor Pads, 17" Diameter, Black, 5/Carton (PAD4017BLA)~|~This floor stripping pad is the valuable choice you can rely on for long-lasting stripping of finish, dirt, and buildup. Clean heavily soiled surfaces with ease by using a rotary machine, stripping pad, and appropriate chemicals. The abrasive pad works to remove stubborn stains and finishes. For use with rotary machines (Speed of 175 to 600 RPM). Color-coded for easy job identification.~|~19.90~|~~|~Case~|~5~|~749507985990~|~~|~Cleaning Supplies > Floor Cleaning Supplies > Floor Cleaning Pads~|~https://www.restockit.com/products/boardwalk-stripping-floor-pads-num-pad4017bla~|~In stock~|~2026-04-20~|~~|~~|~181
Restockit~|~Boardwalk~|~Boardwalk~|~BWKTRANSCUP9~|~BWKTRANSCUP9~|~Boardwalk Translucent Plastic Cold Cups, 9 oz, Polypropylene, 100 Cups/Sleeve, 25 Sleeves/Carton (BWKTRANSCUP9)~|~No matter what size you need, this cup is a great option for any occasion. Whether in an office or cafeteria, this cup provides an economical option for sodas, juices, and other cold drinks.~|~88.41~|~~|~Case~|~2500~|~749507989523~|~~|~Food and Breakroom Supplies > Cups, Plates, Bowls, Utensils and Napkins > Plastic Cups~|~https://www.restockit.com/products/boardwalk-translucent-plastic-cold-cups-num-bwktranscup9~|~In stock~|~2026-04-20~|~~|~~|~2142
Restockit~|~Rubbermaid Commercial~|~Rubbermaid Commercial~|~RUB295673BE~|~RUB295673BE~|~Rubbermaid Commercial Deskside Recycling Container, Medium, 28.13 qt, Plastic, Blue (RUB295673BE)~|~The Rubbermaid Commercial Deskside Recycling Bin is an easy and effective way to separate recyclables from other refuse. This recycler is designed to be used in systems with existing office containers and accessories. Placed beside traditional wastebaskets, Rubbermaid Deskside Recycling Bins make it easy to increase waste management compliance.~|~10.21~|~~|~Each~|~1~|~086876194173~|~~|~Cleaning Supplies > Can Liners and Trash Cans > Trash Cans > Recycling Trash Cans and Containers~|~https://www.restockit.com/products/rubbermaid-deskside-recycling-container-num-rub295673be~|~In stock~|~2026-04-20~|~~|~~|~3043
Restockit~|~Alera~|~Alera~|~ALESD6030PC~|~ALESD6030PC~|~Alera Double Pedestal Steel Desk, Metal Desk, 60w x 30d x 29.5h, Cherry/Putty (ALESD6030PC)~|~Durable square edge laminated top is scratch- and stain-resistant. Powder coated steel frame with chrome-plated 1" square tubular steel legs. Full-extension locking file drawer with telescoping ball bearing slides accommodates hanging file folders. Box drawer with dividers operates on steel roller suspensions. Center drawer lock secures all drawers. Aluminum drawer handles. Three-quarter height modesty panel provides privacy. Leveling glides adjust for uneven floors.~|~981.20~|~~|~Each~|~1~|~042167400132~|~~|~Office Furniture > Office Desks > Metal Desks~|~https://www.restockit.com/products/alera-double-pedestal-steel-desk-num-alesd6030pc~|~Out of stock~|~2026-04-20~|~~|~~|~0
Restockit~|~Springhill~|~Springhill~|~SGH016000~|~SGH016000~|~Springhill Digital Vellum Bristol White Cover, 67 lb, 8.5 x 11, Vellum White, 250/Pack (SGH016000)~|~Takes you higher with the bulk and soft, toothy feel of premium cover stock. Perfect for brochures, greeting cards, tent cards, menus and direct mail. Good ink holdout, fast drying. Excellent for die-cutting, scoring and folding. Acid-free. This product was made using wood sourced from a certified managed forest.~|~13.51~|~~|~Pack~|~250~|~091083060005~|~~|~Office Supplies > Copy and Printer Paper > Color Paper~|~https://www.restockit.com/products/springhill-digital-vellum-bristol-white-cover-num-sgh016000~|~In stock~|~2026-04-20~|~~|~~|~463
Restockit~|~Georgia Pacific Professional~|~Georgia Pacific Professional~|~28124GPT~|~28124GPT~|~Georgia Pacific Professional Center-Pull Perforated Paper Towels,7 4/5x15, White,320/Roll,6 Rolls/Ctn (28124GPT)~|~Are you looking for a cost-effective way to stock your high traffic areas with great paper towels? Here at ReStockIt.com, we believe that we have the answer you've been looking for. SofPull center pull paper towels are a hygienic, budget-friendly alternative to the typical full size paper towel dispenser. What many find notable about center pull towels is that the sheets dispense completely open for quick and easy use. The SofPull center pull paper towels are comparable to leading paper towels and Scott paper towels in that they are soft and very absorbent. This makes these towels a wonderful choice to have on hand in classrooms, daycare centers, medical offices, laboratories, and anywhere else that you value the availability of paper towels with softness and absorbency. Whether you are looking for Bounty paper towels, Scott paper towels, recycled paper towels, or other great paper towel choices, ReStockIt.com has it all!Sofpull Centerpull paper towels are so~|~90.41~|~~|~Roll~|~6~|~073310281247~|~~|~Cleaning Supplies > Paper Products and Dispensers > Paper Towels > Centerpull Paper Towels~|~https://www.restockit.com/products/sofpull-center-pull-perforated-paper-towels-num-28124gpt~|~In stock~|~2026-04-20~|~~|~~|~1914
Restockit~|~Glad~|~Glad~|~CLO70427~|~CLO70427~|~Glad ForceFlex Tall Kitchen Drawstring Bags, 13 gal, .82mil, 24 x 24 7/8 White 100/BX (CLO70427)~|~You won't ever have to mess with small and frustrating twist ties again when you begin using these great drawstring trash bags. They're easy to close tightly so you can take out the garbage with no mess whatsoever. These particular kitchen garbage bags make use of the patented ForceFlex technology, which allows the bags to stretch widely without tearing. Glad knows that, in the kitchen, it's sometimes hard to not throw things with sharp corners or hard edges into your kitchen trash bags. The deep embossing on the bags that provides the stretch keeps your trash from bursting through the bags all over your floor. Instead, with one simple tug on your drawstring trash bags, you can pull the bag free with no fear of spills. You can shove just about anything in these kitchen garbage bags, but sometimes the retail prices make people settle for lesser quality products. Never settle again. Buy your ForceFlex bags and a huge selection of other products as well at wholesale pricin~|~30.87~|~~|~Box~|~100~|~012587704271~|~~|~Cleaning Supplies > Can Liners and Trash Cans > Can Liners > Kitchen Garbage Bags~|~https://www.restockit.com/products/glad-forceflex-tall-kitchen-drawstring-bags-num-clo70427~|~In stock~|~2026-04-20~|~~|~~|~6279
